ability_id,机制,来源,媒介,接触方式,结果,一句话
AB0477,寄生,异化,丝,接触命中,改变因果顺序,以异化为源、丝为媒介：寄生；接触命中 → 改变因果顺序
AB0478,回溯,天授,气,媒介传导,造成位移,以天授为源、气为媒介：回溯；媒介传导 → 造成位移
AB0479,加速,异化,雾,接触命中,改变身体规则,以异化为源、雾为媒介：加速；接触命中 → 改变身体规则
AB0480,标记,天授,光,接触命中,造成位移,以天授为源、光为媒介：标记；接触命中 → 造成位移
AB0481,锚定,残缺体质,影,地面蔓延,吸收结构,以残缺体质为源、影为媒介：锚定；地面蔓延 → 吸收结构
AB0482,回响,血脉,雾,地面蔓延,标记目标,以血脉为源、雾为媒介：回响；地面蔓延 → 标记目标
AB0483,回响,功法,血,视线锁定,标记目标,以功法为源、血为媒介：回响；视线锁定 → 标记目标
AB0484,加速,血脉,气,接触命中,剥夺行动,以血脉为源、气为媒介：加速；接触命中 → 剥夺行动
AB0485,冻结,共鸣,声,范围笼罩,标记目标,以共鸣为源、声为媒介：冻结；范围笼罩 → 标记目标
AB0486,空间连接,血脉,雷,接触命中,标记目标,以血脉为源、雷为媒介：空间连接；接触命中 → 标记目标
AB0487,状态交换,天授,雾,接触命中,限制变化,以天授为源、雾为媒介：状态交换；接触命中 → 限制变化
AB0488,延迟,器物,声,媒介传导,改变因果顺序,以器物为源、声为媒介：延迟；媒介传导 → 改变因果顺序
AB0489,强化,残缺体质,雾,地面蔓延,剥夺行动,以残缺体质为源、雾为媒介：强化；地面蔓延 → 剥夺行动
AB0490,强化,残缺体质,雾,视线锁定,交换位置,以残缺体质为源、雾为媒介：强化；视线锁定 → 交换位置
AB0491,强化,器物,光,媒介传导,改变身体规则,以器物为源、光为媒介：强化；媒介传导 → 改变身体规则
AB0492,共生,功法,雾,地面蔓延,标记目标,以功法为源、雾为媒介：共生；地面蔓延 → 标记目标
AB0493,转移,残缺体质,纹,地面蔓延,标记目标,以残缺体质为源、纹为媒介：转移；地面蔓延 → 标记目标
AB0494,锚定,契约,声,范围笼罩,交换位置,以契约为源、声为媒介：锚定；范围笼罩 → 交换位置
AB0495,嵌套,契约,丝,视线锁定,交换位置,以契约为源、丝为媒介：嵌套；视线锁定 → 交换位置
AB0496,标记,残缺体质,光,接触命中,标记目标,以残缺体质为源、光为媒介：标记；接触命中 → 标记目标
AB0497,削弱,功法,光,媒介传导,交换位置,以功法为源、光为媒介：削弱；媒介传导 → 交换位置
AB0498,寄生,器物,血,接触命中,改变因果顺序,以器物为源、血为媒介：寄生；接触命中 → 改变因果顺序
AB0499,回响,残缺体质,雷,范围笼罩,限制变化,以残缺体质为源、雷为媒介：回响；范围笼罩 → 限制变化
AB0500,共振,功法,光,接触命中,剥夺行动,以功法为源、光为媒介：共振；接触命中 → 剥夺行动
AB0501,记录,异化,丝,接触命中,交换位置,以异化为源、丝为媒介：记录；接触命中 → 交换位置
AB0502,回溯,器物,气,接触命中,改变身体规则,以器物为源、气为媒介：回溯；接触命中 → 改变身体规则
AB0503,回溯,血脉,雷,地面蔓延,制造错误感知,以血脉为源、雷为媒介：回溯；地面蔓延 → 制造错误感知
AB0504,重构,天授,血,媒介传导,复制信息,以天授为源、血为媒介：重构；媒介传导 → 复制信息
AB0505,剥离,天授,雾,范围笼罩,复制信息,以天授为源、雾为媒介：剥离；范围笼罩 → 复制信息
AB0506,寄生,异化,尘,范围笼罩,标记目标,以异化为源、尘为媒介：寄生；范围笼罩 → 标记目标
AB0507,回溯,器物,丝,视线锁定,吸收结构,以器物为源、丝为媒介：回溯；视线锁定 → 吸收结构
AB0508,强化,器物,光,地面蔓延,吸收结构,以器物为源、光为媒介：强化；地面蔓延 → 吸收结构
AB0509,锚定,天授,纹,视线锁定,交换位置,以天授为源、纹为媒介：锚定；视线锁定 → 交换位置
AB0510,吞噬,异化,光,范围笼罩,剥夺行动,以异化为源、光为媒介：吞噬；范围笼罩 → 剥夺行动
AB0511,剥离,器物,雾,视线锁定,造成位移,以器物为源、雾为媒介：剥离；视线锁定 → 造成位移
AB0512,记录,契约,丝,地面蔓延,限制变化,以契约为源、丝为媒介：记录；地面蔓延 → 限制变化
AB0513,寄生,血脉,气,视线锁定,标记目标,以血脉为源、气为媒介：寄生；视线锁定 → 标记目标
AB0514,状态交换,功法,气,范围笼罩,吸收结构,以功法为源、气为媒介：状态交换；范围笼罩 → 吸收结构
AB0515,剥离,契约,气,媒介传导,吸收结构,以契约为源、气为媒介：剥离；媒介传导 → 吸收结构
AB0516,标记,血脉,气,媒介传导,制造错误感知,以血脉为源、气为媒介：标记；媒介传导 → 制造错误感知
AB0517,位置改变,契约,声,地面蔓延,吸收结构,以契约为源、声为媒介：位置改变；地面蔓延 → 吸收结构
AB0518,标记,契约,尘,范围笼罩,吸收结构,以契约为源、尘为媒介：标记；范围笼罩 → 吸收结构
AB0519,削弱,异化,丝,范围笼罩,制造错误感知,以异化为源、丝为媒介：削弱；范围笼罩 → 制造错误感知
AB0520,错位,契约,丝,视线锁定,复制信息,以契约为源、丝为媒介：错位；视线锁定 → 复制信息
AB0521,空间连接,器物,尘,接触命中,吸收结构,以器物为源、尘为媒介：空间连接；接触命中 → 吸收结构
AB0522,标记,残缺体质,丝,地面蔓延,复制信息,以残缺体质为源、丝为媒介：标记；地面蔓延 → 复制信息
AB0523,锚定,契约,尘,媒介传导,限制变化,以契约为源、尘为媒介：锚定；媒介传导 → 限制变化
AB0524,锚定,异化,雾,范围笼罩,交换位置,以异化为源、雾为媒介：锚定；范围笼罩 → 交换位置
AB0525,分解,异化,雷,媒介传导,标记目标,以异化为源、雷为媒介：分解；媒介传导 → 标记目标
AB0526,延迟,残缺体质,声,媒介传导,制造错误感知,以残缺体质为源、声为媒介：延迟；媒介传导 → 制造错误感知
AB0527,共生,共鸣,血,视线锁定,限制变化,以共鸣为源、血为媒介：共生；视线锁定 → 限制变化
AB0528,重构,血脉,丝,接触命中,制造错误感知,以血脉为源、丝为媒介：重构；接触命中 → 制造错误感知
AB0529,标记,异化,光,视线锁定,复制信息,以异化为源、光为媒介：标记；视线锁定 → 复制信息
AB0530,共生,异化,影,接触命中,限制变化,以异化为源、影为媒介：共生；接触命中 → 限制变化
AB0531,状态交换,契约,血,媒介传导,复制信息,以契约为源、血为媒介：状态交换；媒介传导 → 复制信息
AB0532,加速,天授,雾,视线锁定,改变因果顺序,以天授为源、雾为媒介：加速；视线锁定 → 改变因果顺序
AB0533,吞噬,残缺体质,影,视线锁定,剥夺行动,以残缺体质为源、影为媒介：吞噬；视线锁定 → 剥夺行动
AB0534,转移,共鸣,光,范围笼罩,造成位移,以共鸣为源、光为媒介：转移；范围笼罩 → 造成位移
AB0535,回溯,异化,声,媒介传导,改变身体规则,以异化为源、声为媒介：回溯；媒介传导 → 改变身体规则
AB0536,记录,契约,雾,范围笼罩,改变身体规则,以契约为源、雾为媒介：记录；范围笼罩 → 改变身体规则
AB0537,分解,天授,血,接触命中,复制信息,以天授为源、血为媒介：分解；接触命中 → 复制信息
AB0538,共振,残缺体质,尘,地面蔓延,限制变化,以残缺体质为源、尘为媒介：共振；地面蔓延 → 限制变化
AB0539,方向改变,共鸣,气,视线锁定,交换位置,以共鸣为源、气为媒介：方向改变；视线锁定 → 交换位置
AB0540,共振,共鸣,影,媒介传导,剥夺行动,以共鸣为源、影为媒介：共振；媒介传导 → 剥夺行动
AB0541,剥离,器物,声,范围笼罩,造成位移,以器物为源、声为媒介：剥离；范围笼罩 → 造成位移
AB0542,空间连接,异化,影,媒介传导,吸收结构,以异化为源、影为媒介：空间连接；媒介传导 → 吸收结构
AB0543,标记,共鸣,纹,接触命中,限制变化,以共鸣为源、纹为媒介：标记；接触命中 → 限制变化
AB0544,分解,契约,雷,媒介传导,制造错误感知,以契约为源、雷为媒介：分解；媒介传导 → 制造错误感知
AB0545,加速,异化,丝,视线锁定,标记目标,以异化为源、丝为媒介：加速；视线锁定 → 标记目标
AB0546,分解,契约,光,视线锁定,标记目标,以契约为源、光为媒介：分解；视线锁定 → 标记目标
AB0547,复制,血脉,血,接触命中,吸收结构,以血脉为源、血为媒介：复制；接触命中 → 吸收结构
AB0548,位置改变,天授,声,视线锁定,改变因果顺序,以天授为源、声为媒介：位置改变；视线锁定 → 改变因果顺序
AB0549,转移,功法,光,地面蔓延,复制信息,以功法为源、光为媒介：转移；地面蔓延 → 复制信息
AB0550,寄生,残缺体质,尘,接触命中,交换位置,以残缺体质为源、尘为媒介：寄生；接触命中 → 交换位置
AB0551,折叠,共鸣,影,地面蔓延,复制信息,以共鸣为源、影为媒介：折叠；地面蔓延 → 复制信息
AB0552,加速,残缺体质,纹,媒介传导,复制信息,以残缺体质为源、纹为媒介：加速；媒介传导 → 复制信息
AB0553,回溯,血脉,丝,媒介传导,造成位移,以血脉为源、丝为媒介：回溯；媒介传导 → 造成位移
AB0554,标记,异化,影,媒介传导,标记目标,以异化为源、影为媒介：标记；媒介传导 → 标记目标
AB0555,重构,功法,雾,范围笼罩,标记目标,以功法为源、雾为媒介：重构；范围笼罩 → 标记目标
AB0556,延迟,契约,丝,范围笼罩,吸收结构,以契约为源、丝为媒介：延迟；范围笼罩 → 吸收结构
AB0557,分解,血脉,影,视线锁定,制造错误感知,以血脉为源、影为媒介：分解；视线锁定 → 制造错误感知
AB0558,共生,天授,纹,视线锁定,制造错误感知,以天授为源、纹为媒介：共生；视线锁定 → 制造错误感知
AB0559,冻结,异化,纹,范围笼罩,交换位置,以异化为源、纹为媒介：冻结；范围笼罩 → 交换位置
AB0560,记录,功法,尘,地面蔓延,标记目标,以功法为源、尘为媒介：记录；地面蔓延 → 标记目标
